work_orders,section_names,status,working_hours,priority
FA2303080121,G,1,1.5,256
FA2211210144,M,1,1.3,257
FA2211210148,M,1,1.0,258
FA2302250050,ES,1,2.0,259
FA2211280013,M,1,1.0,260
FA2302190198,CNC,1,31.0,261
FA2301310329,M,1,0.8,262
FA2212010294,CNC,1,78.0,263
FA2302150124,M,1,1.5,264
FA2302150127,AW,1,0.8,265
FA2302150130,G,1,5.0,266
FA2302150131,G,1,5.0,267
FA2302150132,G,1,5.0,268
FA2302160050,AW,1,2.0,269
FA2302160051,AW,1,2.0,270
FA2302200468,AW,1,4.0,271
FA2302220241,AW,1,3.0,272
FA2303010084,EM,1,2.5,273
FA2303030049,AW,1,0.5,274
FA2303030051,AW,1,0.5,275
FA2303030121,G,1,1.5,276
FA2303030122,G,1,1.5,277
FA2303040027,AW,1,0.6,278
FA2303040028,AW,1,0.6,279
FA2303040047,AW,1,1.0,280
FA2303040052,M,1,1.0,281
FA2303040053,M,1,1.5,282
FA2303070021,AW,1,3.0,283
FA2303070022,EM,1,1.5,284
FA2303070068,AW,1,1.5,285
FA2303070069,AW,1,3.0,286
FA2303070072,M,1,3.0,287
FA2303070073,AW,1,1.0,288
FA2303070080,AW,1,0.8,289
FA2303070085,G,1,18.0,290
FA2303070086,G,1,4.0,291
FA2303070088,AW,1,0.6,292
FA2303070089,AW,1,0.6,293
FA2303080049,CNC,1,2.5,294
FA2303080171,MC,1,3.8,295
FA2303080177,AW,1,0.5,296
FA2303080181,AW,1,0.8,297
FA2303090033,M,1,2.0,298
FA2301170261,M,1,2.5,299
FA2302050216,M,1,2.0,300
FA2302050238,M,1,1.8,301
FA2302130164,EP,1,0.6,302
FA2303030062,G,1,3.0,303
FA2303040045,M,1,2.0,304
FA2303060009,AW,1,1.0,305
FA2303060097,G,1,1.3,306
FA2303070071,G,1,2.0,307
FA2303070087,CNC,1,2.0,308
FA2303070123,G,1,0.8,309
FA2303070124,G,1,0.8,310
FA2303070125,G,1,0.8,311
FA2303070126,G,1,0.8,312
FA2303070127,G,1,0.8,313
FA2303080008,G,1,0.8,314
FA2303020071,G,1,3.0,315
FA2303070114,WE,1,2.0,316
FA2301170249,CNC,1,1.5,317
FA2302280065,GP,1,1.0,318
FA2301170244,WE,1,1.8,319
FA2301170245,WE,1,1.8,320
FA2303020386,CNC,1,3.5,321
FA2301170237,M,1,0.5,322
FA2302050047,CNC,1,4.0,323
FA2303020385,G,1,2.0,324
FA2303020388,G,1,2.0,325
FA2303020389,G,1,2.0,326
FA2302050127,CNC,1,26.0,327
FA2301290026,CNC,1,3.0,328
FA2301290027,CNC,1,3.0,329
FA2303040021,ES,1,40.0,330
FA2210210011,CNC,1,16.0,331
FA2302220094,WE,1,62.0,332
FA2301280219,ES,1,5.0,333
FA2301260004,L,1,3.0,334
FA2302060003,BD,1,3.0,335
FA2302080323,AW,1,0.5,336
FA2302090146,M,1,3.0,337
FA2302100012,AW,1,1.0,338
FA2302130109,M,1,3.0,339
FA2302130110,G,1,2.0,340
FA2302130176,AW,1,0.3,341
FA2302130191,AW,1,0.3,342
FA2302140315,AW,1,0.8,343
FA2302140325,AW,1,0.4,344
FA2302160102,M,1,3.0,345
FA2302170556,AW,1,0.5,346
FA2302170558,AW,1,0.5,347
FA2302180148,M,1,3.0,348
FA2302180150,AW,1,1.5,349
FA2302200283,AW,1,0.3,350
FA2302200285,AW,1,0.3,351
FA2302200469,AW,1,0.5,352
FA2302200474,G,1,1.5,353
FA2302200475,G,1,1.5,354
FA2302210039,AW,1,1.5,355
FA2302210042,G,1,4.0,356
FA2302210056,M,1,4.0,357
FA2302210114,G,1,2.0,358
FA2302210120,AW,1,1.5,359
FA2302210121,AW,1,1.0,360
FA2302220075,M,1,3.0,361
FA2302220080,AW,1,0.5,362
FA2302220082,AW,1,0.3,363
FA2302220083,AW,1,0.3,364
FA2302220084,AW,1,0.3,365
FA2302220222,G,1,4.0,366
FA2302220242,AW,1,0.3,367
FA2302230184,AW,1,1.5,368
FA2302280015,AW,1,0.6,369
FA2302280350,AW,1,0.8,370
FA2303080057,G,1,2.0,371
FA2301310616,WE,1,1.8,372
FA2302010003,ES,1,4.0,373
FA2302080322,ES,1,3.0,374
FA2302090142,BD,1,2.0,375
FA2302130159,G,1,0.8,376
FA2302130160,G,1,0.8,377
FA2302130161,G,1,0.8,378
FA2302160765,G,1,0.8,379
FA2302220243,WE,1,1.2,380
FA2303070043,AW,1,1.2,381
FA2303080056,CNC,1,2.5,382
FA2211130094,MC,1,48.0,383
FA2301040982,AW,1,0.8,384
FA2301060156,CNC,1,2.5,385
FA2302130158,ES,1,1.5,386
FA2302130163,ES,1,2.0,387
FA2302220007,EM,1,1.0,388
FA2210300037,WE,1,2.5,389
FA2301060152,CNC,1,2.0,390
FA2302210066,EM,1,1.0,391
FA2302210068,EM,1,1.0,392
FA2303050026,G,1,3.0,393
FA2303050031,G,1,2.0,394
FA2303070177,G,1,10.0,395
FA2210280228,CNC,1,1.0,396
FA2301060262,M,1,1.0,397
FA2302050015,ES,1,6.0,398
FA2302050016,ES,1,6.0,399
FA2302130172,ES,1,3.8,400
FA2302210069,EM,1,1.0,401
FA2302280133,M,1,2.5,402
FA2302050027,M,1,0.5,403
FA2302050049,M,1,0.5,404
FA2302050064,ES,1,3.0,405
FA2302130171,ES,1,4.3,406
FA2302200471,ES,1,2.0,407
FA2302040106,M,1,0.5,408
FA2302050011,ES,1,2.0,409
FA2302050012,ES,1,2.0,410
FA2302050032,ES,1,3.0,411
FA2302170196,ES,1,2.5,412
FA2211150068,M,1,2.0,413
FA2301040011,G,1,4.0,414
FA2302050048,G,1,1.5,415
FA2302160761,M,1,1.0,416
FA2302170117,M,1,1.0,417
FA2211020019,M,1,1.5,418
FA2302030069,M,1,0.5,419
FA2303070036,AW,1,0.8,420
FA2303070040,G,1,4.0,421
FA2303070041,AW,1,1.0,422
FA2303070042,AW,1,2.0,423
FA2303070044,AW,1,0.3,424
FA2303070045,AW,1,0.8,425
FA2303070046,AW,1,1.3,426
FA2303070047,AW,1,0.4,427
FA2303070048,AW,1,1.5,428
FA2303070049,AW,1,0.9,429
FA2303070050,AW,1,0.5,430
FA2303070078,G,1,1.0,431
FA2303070079,G,1,1.0,432
FA2303070081,G,1,1.0,433
FA2303080093,MC,1,3.0,434
FA2303080138,AW,1,0.6,435
FA2303080140,AW,1,1.0,436
